series,threshold,total,gt_fail,gt_pass,accepted_fail,predicted_pass,inconclusive,coverage,inconclusive_rate,accuracy_abstain_wrong,balanced_accuracy,macro_precision,macro_recall,macro_f1,covered_accuracy,covered_balanced_accuracy,covered_macro_precision,covered_macro_recall,covered_macro_f1,combined_precision,combined_recall,combined_f1,fail_precision,fail_recall,fail_f1,not_fail_precision,not_fail_recall,not_fail_f1,pass_precision,pass_recall,pass_f1,covered_fail_precision,covered_fail_recall,covered_fail_f1,covered_pass_precision,covered_pass_recall,covered_pass_f1,fail_tp,fail_fp,fail_fn,not_fail_tp,not_fail_fp,not_fail_fn,combined_tp,combined_fp,combined_fn,pass_tp,pass_fp,pass_fn,covered_fail_tp,covered_fail_fp,covered_fail_fn,covered_pass_tp,covered_pass_fp,covered_pass_fn
VibeTest static,0.0,1125,534,591,422,546,157,0.8604444444444445,0.13955555555555554,0.6284444444444445,0.6257723530865605,0.7297753589222784,0.6257723530865605,0.6727661798095996,0.7303719008264463,0.7296106557377049,0.7297753589222784,0.7296106557377049,0.7270604330801529,0.7303719008264463,0.6284444444444445,0.6755852842809364,0.7251184834123223,0.5730337078651685,0.6401673640167365,0.716927453769559,0.8527918781725888,0.7789799072642967,0.7344322344322345,0.6785109983079526,0.7053649956024627,0.7251184834123223,0.6375,0.6784922394678492,0.7344322344322345,0.8217213114754098,0.7756286266924565,306,116,228,504,199,87,707,261,418,401,145,190,306,116,174,401,145,87
VibeTest static,0.55,1125,534,591,422,546,157,0.8604444444444445,0.13955555555555554,0.6284444444444445,0.6257723530865605,0.7297753589222784,0.6257723530865605,0.6727661798095996,0.7303719008264463,0.7296106557377049,0.7297753589222784,0.7296106557377049,0.7270604330801529,0.7303719008264463,0.6284444444444445,0.6755852842809364,0.7251184834123223,0.5730337078651685,0.6401673640167365,0.716927453769559,0.8527918781725888,0.7789799072642967,0.7344322344322345,0.6785109983079526,0.7053649956024627,0.7251184834123223,0.6375,0.6784922394678492,0.7344322344322345,0.8217213114754098,0.7756286266924565,306,116,228,504,199,87,707,261,418,401,145,190,306,116,174,401,145,87
VibeTest static,0.6,1125,534,591,420,546,159,0.8586666666666667,0.14133333333333334,0.6275555555555555,0.6248360234985455,0.7303113553113554,0.6248360234985455,0.6723889967530132,0.7308488612836439,0.7298983126414706,0.7303113553113554,0.7298983126414706,0.7274579659074754,0.7308488612836439,0.6275555555555555,0.6752749880439981,0.7261904761904762,0.5711610486891385,0.6394129979035639,0.7148936170212766,0.8527918781725888,0.7777777777777778,0.7344322344322345,0.6785109983079526,0.7053649956024627,0.7261904761904762,0.6380753138075314,0.6792873051224944,0.7344322344322345,0.8217213114754098,0.7756286266924565,305,115,229,504,201,87,706,260,419,401,145,190,305,115,173,401,145,87
VibeTest static,0.65,1125,534,591,419,546,160,0.8577777777777778,0.14222222222222222,0.6275555555555555,0.6248360234985455,0.7311779310585993,0.6248360234985455,0.6727244705189648,0.7316062176165803,0.730567154689487,0.7311779310585993,0.730567154689487,0.728216099060514,0.7316062176165803,0.6275555555555555,0.6755980861244019,0.7279236276849642,0.5711610486891385,0.640083945435467,0.7138810198300283,0.8527918781725888,0.777178103315343,0.7344322344322345,0.6785109983079526,0.7053649956024627,0.7279236276849642,0.639412997903564,0.6808035714285715,0.7344322344322345,0.8217213114754098,0.7756286266924565,305,114,229,504,202,87,706,259,419,401,145,190,305,114,172,401,145,87
VibeTest static,0.7,1125,534,591,417,546,162,0.856,0.144,0.6266666666666667,0.6238996939105306,0.7317245105014889,0.6238996939105306,0.6723460098937655,0.7320872274143302,0.7308606557377049,0.7317245105014889,0.7308606557377049,0.7286214882341207,0.7320872274143302,0.6266666666666667,0.6752873563218391,0.7290167865707434,0.5692883895131086,0.6393270241850683,0.711864406779661,0.8527918781725888,0.7759815242494226,0.7344322344322345,0.6785109983079526,0.7053649956024627,0.7290167865707434,0.64,0.6816143497757848,0.7344322344322345,0.8217213114754098,0.7756286266924565,304,113,230,504,204,87,705,258,420,401,145,190,304,113,171,401,145,87
VibeTest static,0.75,1125,534,591,409,546,170,0.8488888888888889,0.1511111111111111,0.6257777777777778,0.6229633643225156,0.7376317651378776,0.6229633643225156,0.6739974500811889,0.7371727748691099,0.7362710868211206,0.7376317651378776,0.7362710868211206,0.7336152359776595,0.7371727748691099,0.6257777777777778,0.676923076923077,0.7408312958435208,0.5674157303370787,0.6426299045599152,0.7122905027932961,0.8629441624365483,0.7804131599081867,0.7344322344322345,0.6785109983079526,0.7053649956024627,0.7408312958435208,0.6405919661733616,0.6870748299319729,0.7344322344322345,0.8319502074688797,0.7801556420233463,303,106,231,510,206,81,704,251,421,401,145,190,303,106,170,401,145,81
VibeTest static,0.8,1125,534,591,397,546,182,0.8382222222222222,0.16177777777777777,0.6213333333333333,0.6182817163824408,0.7425309786770744,0.6182817163824408,0.6727684269097168,0.7412513255567338,0.7404813315339631,0.7425309786770744,0.7404813315339631,0.7372608742420725,0.7412513255567338,0.6213333333333333,0.6760154738878144,0.7506297229219143,0.5580524344569289,0.640171858216971,0.7101648351648352,0.8747884940778342,0.7839272175890827,0.7344322344322345,0.6785109983079526,0.7053649956024627,0.7506297229219143,0.6367521367521367,0.6890173410404624,0.7344322344322345,0.8442105263157895,0.7855044074436828,298,99,236,517,211,74,699,244,426,401,145,190,298,99,170,401,145,74
VibeTest static,0.82,1125,534,591,387,546,192,0.8293333333333334,0.17066666666666666,0.6142222222222222,0.6107910796783209,0.7418931198000966,0.6107910796783209,0.6675576335232727,0.7406216505894962,0.7391074547292951,0.7418931198000966,0.7391074547292951,0.7359079496647523,0.7406216505894962,0.6142222222222222,0.6715257531584062,0.7493540051679587,0.5430711610486891,0.6297502714440826,0.7032520325203252,0.8781725888324873,0.781038374717833,0.7344322344322345,0.6785109983079526,0.7053649956024627,0.7493540051679587,0.6304347826086957,0.6847697756788667,0.7344322344322345,0.8477801268498943,0.787046123650638,290,97,244,519,219,72,691,242,434,401,145,190,290,97,170,401,145,72
VibeTest static,0.85,1125,534,591,386,546,193,0.8284444444444444,0.17155555555555554,0.6142222222222222,0.6107910796783209,0.7428637856098996,0.6107910796783209,0.6678998891055792,0.7414163090128756,0.7397942028584984,0.7428637856098996,0.7397942028584984,0.7367183280975084,0.7414163090128756,0.6142222222222222,0.6718522119591638,0.7512953367875648,0.5430711610486891,0.6304347826086957,0.7023004059539919,0.8781725888324873,0.7804511278195487,0.7344322344322345,0.6785109983079526,0.7053649956024627,0.7512953367875648,0.6318082788671024,0.6863905325443788,0.7344322344322345,0.8477801268498943,0.787046123650638,290,96,244,519,220,72,691,241,434,401,145,190,290,96,169,401,145,72
VibeTest static,0.9,1125,534,591,332,546,247,0.7804444444444445,0.21955555555555556,0.5884444444444444,0.5836375216258864,0.7602884063727438,0.5836375216258864,0.6540681790945339,0.7539863325740319,0.7494129748150611,0.7602884063727438,0.7494129748150611,0.7462380952380954,0.7539863325740319,0.5884444444444444,0.6610084872690963,0.786144578313253,0.4887640449438202,0.602771362586605,0.6784363177805801,0.9103214890016921,0.7774566473988439,0.7344322344322345,0.6785109983079526,0.7053649956024627,0.786144578313253,0.6155660377358491,0.6904761904761906,0.7344322344322345,0.8832599118942731,0.802,261,71,273,538,255,53,662,216,463,401,145,190,261,71,163,401,145,53
