threshold,low_threshold,high_threshold,total,coverage,fail_error,pass_error,max_error,tp,fp,tn,fn,predicted_pass,predicted_fail,inconclusive,series
0.5,0.5,0.5,1125,1.0,0.3006134969325153,0.25471698113207547,0.3006134969325153,342,147,474,162,636,489,0,VibeTest static (2.94K out/prop)
0.51,0.49,0.51,1125,0.8924444444444445,0.3006134969325153,0.2524271844660194,0.3006134969325153,342,147,385,130,515,489,121,VibeTest static (2.94K out/prop)
0.52,0.48,0.52,1125,0.8924444444444445,0.3006134969325153,0.2524271844660194,0.3006134969325153,342,147,385,130,515,489,121,VibeTest static (2.94K out/prop)
0.53,0.47,0.53,1125,0.8924444444444445,0.3006134969325153,0.2524271844660194,0.3006134969325153,342,147,385,130,515,489,121,VibeTest static (2.94K out/prop)
0.54,0.45999999999999996,0.54,1125,0.8924444444444445,0.3006134969325153,0.2524271844660194,0.3006134969325153,342,147,385,130,515,489,121,VibeTest static (2.94K out/prop)
0.55,0.44999999999999996,0.55,1125,0.8888888888888888,0.3006134969325153,0.25440313111545987,0.3006134969325153,342,147,381,130,511,489,125,VibeTest static (2.94K out/prop)
0.56,0.43999999999999995,0.56,1125,0.8666666666666667,0.2823275862068966,0.25440313111545987,0.2823275862068966,333,131,381,130,511,464,150,VibeTest static (2.94K out/prop)
0.57,0.43000000000000005,0.57,1125,0.8666666666666667,0.2823275862068966,0.25440313111545987,0.2823275862068966,333,131,381,130,511,464,150,VibeTest static (2.94K out/prop)
0.58,0.42000000000000004,0.58,1125,0.8666666666666667,0.2823275862068966,0.25440313111545987,0.2823275862068966,333,131,381,130,511,464,150,VibeTest static (2.94K out/prop)
0.59,0.41000000000000003,0.59,1125,0.8666666666666667,0.2823275862068966,0.25440313111545987,0.2823275862068966,333,131,381,130,511,464,150,VibeTest static (2.94K out/prop)
0.6,0.4,0.6,1125,0.8666666666666667,0.2823275862068966,0.25440313111545987,0.2823275862068966,333,131,381,130,511,464,150,VibeTest static (2.94K out/prop)
0.61,0.39,0.61,1125,0.856,0.2743362831858407,0.25440313111545987,0.2743362831858407,328,124,381,130,511,452,162,VibeTest static (2.94K out/prop)
0.62,0.38,0.62,1125,0.856,0.2743362831858407,0.25440313111545987,0.2743362831858407,328,124,381,130,511,452,162,VibeTest static (2.94K out/prop)
0.63,0.37,0.63,1125,0.856,0.2743362831858407,0.25440313111545987,0.2743362831858407,328,124,381,130,511,452,162,VibeTest static (2.94K out/prop)
0.64,0.36,0.64,1125,0.856,0.2743362831858407,0.25440313111545987,0.2743362831858407,328,124,381,130,511,452,162,VibeTest static (2.94K out/prop)
0.65,0.35,0.65,1125,0.856,0.2743362831858407,0.25440313111545987,0.2743362831858407,328,124,381,130,511,452,162,VibeTest static (2.94K out/prop)
0.66,0.33999999999999997,0.66,1125,0.8515555555555555,0.2717149220489978,0.2554027504911591,0.2717149220489978,327,122,379,130,509,449,167,VibeTest static (2.94K out/prop)
0.67,0.32999999999999996,0.67,1125,0.8515555555555555,0.2717149220489978,0.2554027504911591,0.2717149220489978,327,122,379,130,509,449,167,VibeTest static (2.94K out/prop)
0.68,0.31999999999999995,0.68,1125,0.8515555555555555,0.2717149220489978,0.2554027504911591,0.2717149220489978,327,122,379,130,509,449,167,VibeTest static (2.94K out/prop)
0.69,0.31000000000000005,0.69,1125,0.8515555555555555,0.2717149220489978,0.2554027504911591,0.2717149220489978,327,122,379,130,509,449,167,VibeTest static (2.94K out/prop)
0.7,0.30000000000000004,0.7,1125,0.8515555555555555,0.2717149220489978,0.2554027504911591,0.2717149220489978,327,122,379,130,509,449,167,VibeTest static (2.94K out/prop)
0.71,0.29000000000000004,0.71,1125,0.8453333333333334,0.26741573033707866,0.25296442687747034,0.26741573033707866,326,119,378,128,506,445,174,VibeTest static (2.94K out/prop)
0.72,0.28,0.72,1125,0.8453333333333334,0.26741573033707866,0.25296442687747034,0.26741573033707866,326,119,378,128,506,445,174,VibeTest static (2.94K out/prop)
0.73,0.27,0.73,1125,0.8391111111111111,0.2648401826484018,0.25296442687747034,0.2648401826484018,322,116,378,128,506,438,181,VibeTest static (2.94K out/prop)
0.74,0.26,0.74,1125,0.8391111111111111,0.2648401826484018,0.25296442687747034,0.2648401826484018,322,116,378,128,506,438,181,VibeTest static (2.94K out/prop)
0.75,0.25,0.75,1125,0.8391111111111111,0.2648401826484018,0.25296442687747034,0.2648401826484018,322,116,378,128,506,438,181,VibeTest static (2.94K out/prop)
0.76,0.24,0.76,1125,0.8266666666666667,0.25586854460093894,0.251984126984127,0.25586854460093894,317,109,377,127,504,426,195,VibeTest static (2.94K out/prop)
0.77,0.22999999999999998,0.77,1125,0.8266666666666667,0.25586854460093894,0.251984126984127,0.25586854460093894,317,109,377,127,504,426,195,VibeTest static (2.94K out/prop)
0.78,0.21999999999999997,0.78,1125,0.8266666666666667,0.25586854460093894,0.251984126984127,0.25586854460093894,317,109,377,127,504,426,195,VibeTest static (2.94K out/prop)
0.79,0.20999999999999996,0.79,1125,0.8266666666666667,0.25586854460093894,0.251984126984127,0.25586854460093894,317,109,377,127,504,426,195,VibeTest static (2.94K out/prop)
0.8,0.19999999999999996,0.8,1125,0.8266666666666667,0.25586854460093894,0.251984126984127,0.25586854460093894,317,109,377,127,504,426,195,VibeTest static (2.94K out/prop)
0.81,0.18999999999999995,0.81,1125,0.8266666666666667,0.25586854460093894,0.251984126984127,0.25586854460093894,317,109,377,127,504,426,195,VibeTest static (2.94K out/prop)
0.82,0.18000000000000005,0.82,1125,0.8266666666666667,0.25586854460093894,0.251984126984127,0.25586854460093894,317,109,377,127,504,426,195,VibeTest static (2.94K out/prop)
0.83,0.17000000000000004,0.83,1125,0.8257777777777778,0.2541176470588235,0.251984126984127,0.2541176470588235,317,108,377,127,504,425,196,VibeTest static (2.94K out/prop)
0.84,0.16000000000000003,0.84,1125,0.8257777777777778,0.2541176470588235,0.251984126984127,0.2541176470588235,317,108,377,127,504,425,196,VibeTest static (2.94K out/prop)
0.85,0.15000000000000002,0.85,1125,0.8257777777777778,0.2541176470588235,0.251984126984127,0.2541176470588235,317,108,377,127,504,425,196,VibeTest static (2.94K out/prop)
0.86,0.14,0.86,1125,0.6426666666666667,0.19732441471571907,0.25471698113207547,0.25471698113207547,240,59,316,108,424,299,402,VibeTest static (2.94K out/prop)
0.87,0.13,0.87,1125,0.6426666666666667,0.19732441471571907,0.25471698113207547,0.25471698113207547,240,59,316,108,424,299,402,VibeTest static (2.94K out/prop)
0.88,0.12,0.88,1125,0.6426666666666667,0.19732441471571907,0.25471698113207547,0.25471698113207547,240,59,316,108,424,299,402,VibeTest static (2.94K out/prop)
0.89,0.10999999999999999,0.89,1125,0.6417777777777778,0.19798657718120805,0.25471698113207547,0.25471698113207547,239,59,316,108,424,298,403,VibeTest static (2.94K out/prop)
0.9,0.09999999999999998,0.9,1125,0.49777777777777776,0.19798657718120805,0.2633587786259542,0.2633587786259542,239,59,193,69,262,298,565,VibeTest static (2.94K out/prop)
0.91,0.08999999999999997,0.91,1125,0.4151111111111111,0.16097560975609757,0.2633587786259542,0.2633587786259542,172,33,193,69,262,205,658,VibeTest static (2.94K out/prop)
0.92,0.07999999999999996,0.92,1125,0.40444444444444444,0.16161616161616163,0.26848249027237353,0.26848249027237353,166,32,188,69,257,198,670,VibeTest static (2.94K out/prop)
0.93,0.06999999999999995,0.93,1125,0.4,0.16580310880829016,0.26848249027237353,0.26848249027237353,161,32,188,69,257,193,675,VibeTest static (2.94K out/prop)
0.94,0.06000000000000005,0.94,1125,0.4,0.16580310880829016,0.26848249027237353,0.26848249027237353,161,32,188,69,257,193,675,VibeTest static (2.94K out/prop)
0.95,0.050000000000000044,0.95,1125,0.4,0.16580310880829016,0.26848249027237353,0.26848249027237353,161,32,188,69,257,193,675,VibeTest static (2.94K out/prop)
0.96,0.040000000000000036,0.96,1125,0.0791111111111111,0.0,0.575,0.575,9,0,34,46,80,9,1036,VibeTest static (2.94K out/prop)
0.97,0.030000000000000027,0.97,1125,0.0791111111111111,0.0,0.575,0.575,9,0,34,46,80,9,1036,VibeTest static (2.94K out/prop)
0.98,0.020000000000000018,0.98,1125,0.0791111111111111,0.0,0.575,0.575,9,0,34,46,80,9,1036,VibeTest static (2.94K out/prop)
0.99,0.010000000000000009,0.99,1125,0.0791111111111111,0.0,0.575,0.575,9,0,34,46,80,9,1036,VibeTest static (2.94K out/prop)
1.0,0.0,1.0,1125,0.0791111111111111,0.0,0.575,0.575,9,0,34,46,80,9,1036,VibeTest static (2.94K out/prop)
0.5,0.5,0.5,1125,1.0,0.2881646655231561,0.16420664206642066,0.2881646655231561,415,168,453,89,542,583,0,VibeTest static + ex10 (4.29K out/prop)
0.51,0.49,0.51,1125,0.9466666666666667,0.2881646655231561,0.14937759336099585,0.2881646655231561,415,168,410,72,482,583,60,VibeTest static + ex10 (4.29K out/prop)
0.52,0.48,0.52,1125,0.9466666666666667,0.2881646655231561,0.14937759336099585,0.2881646655231561,415,168,410,72,482,583,60,VibeTest static + ex10 (4.29K out/prop)
0.53,0.47,0.53,1125,0.9466666666666667,0.2881646655231561,0.14937759336099585,0.2881646655231561,415,168,410,72,482,583,60,VibeTest static + ex10 (4.29K out/prop)
0.54,0.45999999999999996,0.54,1125,0.9466666666666667,0.2881646655231561,0.14937759336099585,0.2881646655231561,415,168,410,72,482,583,60,VibeTest static + ex10 (4.29K out/prop)
0.55,0.44999999999999996,0.55,1125,0.944,0.2881646655231561,0.15031315240083507,0.2881646655231561,415,168,407,72,479,583,63,VibeTest static + ex10 (4.29K out/prop)
0.56,0.43999999999999995,0.56,1125,0.9217777777777778,0.2777777777777778,0.15031315240083507,0.2777777777777778,403,155,407,72,479,558,88,VibeTest static + ex10 (4.29K out/prop)
0.57,0.43000000000000005,0.57,1125,0.9217777777777778,0.2777777777777778,0.15031315240083507,0.2777777777777778,403,155,407,72,479,558,88,VibeTest static + ex10 (4.29K out/prop)
0.58,0.42000000000000004,0.58,1125,0.9217777777777778,0.2777777777777778,0.15031315240083507,0.2777777777777778,403,155,407,72,479,558,88,VibeTest static + ex10 (4.29K out/prop)
0.59,0.41000000000000003,0.59,1125,0.9217777777777778,0.2777777777777778,0.15031315240083507,0.2777777777777778,403,155,407,72,479,558,88,VibeTest static + ex10 (4.29K out/prop)
