file,threshold,precision,recall,f1,tp,fp,fn,tn,accepted_fail_predictions
results\synthetic\synthetic_kaggle_titanic_AT-gpt-5-mini.jsonl,1.0,0.7913669064748201,0.5789473684210527,0.668693009118541,110,29,80,156,139
results\synthetic\synthetic_kaggle_titanic_AT-gpt-5-mini.jsonl,0.99,0.7913669064748201,0.5789473684210527,0.668693009118541,110,29,80,156,139
results\synthetic\synthetic_kaggle_titanic_AT-gpt-5-mini.jsonl,0.98,0.7913669064748201,0.5789473684210527,0.668693009118541,110,29,80,156,139
results\synthetic\synthetic_kaggle_titanic_AT-gpt-5-mini.jsonl,0.97,0.7913669064748201,0.5789473684210527,0.668693009118541,110,29,80,156,139
results\synthetic\synthetic_kaggle_titanic_AT-gpt-5-mini.jsonl,0.96,0.7913669064748201,0.5789473684210527,0.668693009118541,110,29,80,156,139
results\synthetic\synthetic_kaggle_titanic_AT-gpt-5-mini.jsonl,0.95,0.7913669064748201,0.5789473684210527,0.668693009118541,110,29,80,156,139
results\synthetic\synthetic_kaggle_titanic_AT-gpt-5-mini.jsonl,0.94,0.7913669064748201,0.5789473684210527,0.668693009118541,110,29,80,156,139
results\synthetic\synthetic_kaggle_titanic_AT-gpt-5-mini.jsonl,0.93,0.7913669064748201,0.5789473684210527,0.668693009118541,110,29,80,156,139
results\synthetic\synthetic_kaggle_titanic_AT-gpt-5-mini.jsonl,0.92,0.7913669064748201,0.5789473684210527,0.668693009118541,110,29,80,156,139
results\synthetic\synthetic_kaggle_titanic_AT-gpt-5-mini.jsonl,0.91,0.7913669064748201,0.5789473684210527,0.668693009118541,110,29,80,156,139
results\synthetic\synthetic_kaggle_titanic_AT-gpt-5-mini.jsonl,0.9,0.7913669064748201,0.5789473684210527,0.668693009118541,110,29,80,156,139
results\synthetic\synthetic_kaggle_titanic_AT-gpt-5-mini.jsonl,0.89,0.7913669064748201,0.5789473684210527,0.668693009118541,110,29,80,156,139
results\synthetic\synthetic_kaggle_titanic_AT-gpt-5-mini.jsonl,0.88,0.7913669064748201,0.5789473684210527,0.668693009118541,110,29,80,156,139
